cnpj_raiz_8,ano,entidade,origem_universo,pares_pagantes,valor_mides,classificacao_anterior_painel,grupo_conciliacao,classificacao_conciliada,tratamento_dados,n_unidades_moveis_dezembro,n_estruturas_nao_clinicas_dezembro,cnes_dezembro,tipos_cnes_dezembro,municipios_cadastro_dezembro,cnes_com_tipo_clinico_em_algum_mes,inicio_servico_documentado,fundamento,fonte_decisao,fonte_documental_aplicada,referencias_contextuais_nao_automaticamente_anuais,alcance_contexto_original,fonte_cnes_url,fonte_cnes_sha256,competencia_cnes,polo_clinico_anual_recuperado,limite,data_conciliacao
13985869,2014,CISSUL,original_84,108,1811474.16,rede_movel_regional_documentada,fase_anterior_operacao_samu,pre_operacao_samu_regional,preservar_pagamento_de_fase_pre_operacional,0,0,,,,,2015-01-31,Relato institucional retrospectivo identifica inicio da operacao em 31 de janeiro de 2015,evidencias/fontes_conciliacao_2026_09_24.csv#cissul_inicio,https://cissul.saude.mg.gov.br/2025/cissul-samu-celebra-10-anos-e-inicia-novo-ciclo-de-conquistas/,https://www.saude.mg.gov.br/noticias/abertura-de-treinamento-para-samu-acontece-em-varginha/ | https://www.saude.mg.gov.br/wp-content/uploads/2014/11/A_agenda_da_saude_publica_WEB-726.pdf,2014,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado. Nao mede continuidade diaria nem prova inexistencia de outras atividades antes dessa data,2026-09-24
01058207,2014,CIS GRAO MOGOL,original_84,6,1654024.31,rede_multidestino_documentada_no_fim_da_janela,redes_indiretas_ou_programas,rede_multidestino_documentada_no_fim_da_janela,excluir_destino_fixo,0,0,,,,,,Relato oficial de 2018 documenta consultas e exames e transporte diario para Montes Claros e Francisco Sa nos quatro meses anteriores,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://cisgraomogol.mg.gov.br/2018/01/25/consorcio-de-saude-atende-1-108-pacientes-em-apenas-quatro-meses-de-gestao/,https://cisgraomogol.mg.gov.br/ | https://cisgraomogol.mg.gov.br/2018/01/25/consorcio-de-saude-atende-1-108-pacientes-em-apenas-quatro-meses-de-gestao/,2014-2017,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
13220150,2014,CISNORJE,original_84,58,1453191.57,sem_classificacao_anual_no_painel,movel_regulacao_ou_transporte,oferta_movel_cadastrada,especificacao_movel; nao_usar_central_como_clinica,26,1,7096313 | 7135017 | 7135025 | 7135033 | 7135041 | 7135068 | 7135076 | 7135084 | 7135092 | 7135106 | 7135130 | 7135203 | 7135211 | 7135254 | 7135262 | 7135270 | 7135289 | 7135297 | 7135300 | 7135319 | 7135335 | 7135343 | 7135351 | 7135378 | 7135386 | 7135394 | 7240260,42 | 76,316860,,,Ha unidades moveis diretamente vinculadas na competencia de dezembro.,CNES_ST_dezembro,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
00931990,2014,CISCOM,candidata_externa_13,5,1349891.88,sem_classificacao_anual_no_painel,demais_sem_destino_clinico_suficientemente_documentado,sem_vinculo_direto_identificado,localizar_prestador_e_vigencia; manter_sem_tempo_clinico,0,0,,,,,,Sem clinica diretamente vinculada recuperada para dezembro; consultar fonte contextual sem retroacao.,CNES_historico_e_contexto_documental,,https://abaete.mg.gov.br/wp-content/uploads/2025/06/PMS-Abaete-2022-2025.pdf,2017-2021,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
00784548,2014,CONSONORTE,original_84,7,1277818.47,evidencia_insuficiente,demais_sem_destino_clinico_suficientemente_documentado,evidencia_insuficiente,excluir_destino_fixo,0,0,,,,,,Nao foi localizado prestador ou polo anual identificavel; a literatura institucional apenas confirma a existencia do consorcio de saude no periodo,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://repositorio.fjp.mg.gov.br/items/c5bf1126-785a-4bd8-a68c-95c5f00c3125,https://repositorio.fjp.mg.gov.br/items/c5bf1126-785a-4bd8-a68c-95c5f00c3125,2014-2018,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
01208564,2014,CISMIP,candidata_externa_13,8,1249930.96,sem_classificacao_anual_no_painel,demais_sem_destino_clinico_suficientemente_documentado,sem_vinculo_direto_identificado,localizar_prestador_e_vigencia; manter_sem_tempo_clinico,0,0,,,,,,Sem clinica diretamente vinculada recuperada para dezembro; consultar fonte contextual sem retroacao.,CNES_historico_e_contexto_documental,,https://www.camaraguape.mg.gov.br/abrir_arquivo.aspx?arquivo=%7BBBA1ED7E-EBAD-666B-AD76-0C1BCDA3BCAB%7D.pdf&cdLocal=7 | https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3147909639691,2018-2021,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
01257142,2014,CISSM,candidata_externa_13,8,1203123.13,sem_classificacao_anual_no_painel,demais_sem_destino_clinico_suficientemente_documentado,sem_vinculo_direto_identificado,localizar_prestador_e_vigencia; manter_sem_tempo_clinico,0,0,,,,,,Sem clinica diretamente vinculada recuperada para dezembro; consultar fonte contextual sem retroacao.,CNES_historico_e_contexto_documental,,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/4169429,2018-2021,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
03869109,2014,CISMMA,candidata_externa_13,9,1202964.72,sem_classificacao_anual_no_painel,demais_sem_destino_clinico_suficientemente_documentado,sem_vinculo_direto_identificado,localizar_prestador_e_vigencia; manter_sem_tempo_clinico,0,0,,,,,,Sem clinica diretamente vinculada recuperada para dezembro; consultar fonte contextual sem retroacao.,CNES_historico_e_contexto_documental,,https://www.manga.mg.gov.br/noticias/cismma-elege-chapa-bienio-2019-2020-e-faz-prestacao-de-contas-do-ultimo-bienio | https://cnes2.datasus.gov.br/Mod_Ambulatorial.asp?VCo_Unidade=3139300077615,2019-2021,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
01124788,2014,CONSARDOCE,candidata_externa_13,5,895352.12,sem_classificacao_anual_no_painel,demais_sem_destino_clinico_suficientemente_documentado,sem_vinculo_direto_identificado,localizar_prestador_e_vigencia; manter_sem_tempo_clinico,0,0,,,,,,Sem clinica diretamente vinculada recuperada para dezembro; consultar fonte contextual sem retroacao.,CNES_historico_e_contexto_documental,,https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/1751650 | https://portal-antigo.saude.mg.gov.br/resolucoes/story/20387-consorcios-intermunicipais-de-saude-da-macro-leste-participam-de-encontro-promovido-pela-regional-de-valadares,2017,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
09310999,2014,CISVALEGRAN,original_84,12,893671.65,rede_indireta_documentada_sem_destinos_anuais,redes_indiretas_ou_programas,rede_indireta_documentada_sem_destinos_anuais,excluir_destino_fixo,0,0,,,,,,"O consorcio opera por unidades credenciadas e estrutura da contratada; ha referencia municipal a aditivo de credenciamento iniciado em 2014, sem lista historica completa de destinos",outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://cisvalegran.mg.gov.br/quem-somos.html,https://cisvalegran.mg.gov.br/quem-somos.html | https://ptdocz.com/doc/1907428/visualizar---prefeitura-municipal-de-uberaba,2014-2016,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
01256507,2014,CISLAP,original_84,5,840519.46,rede_indireta_sem_destinos_anuais,redes_indiretas_ou_programas,rede_indireta_sem_destinos_anuais,excluir_destino_fixo,0,0,,,,,,Fonte oficial municipal documenta servicos especializados contratados e suspensao por falta de pagamento em 2018; nao identifica prestadores e enderecos de 2014-2016,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://www.cassia.cam.mg.gov.br/camara-demonstra-grande-preocupacao-com-situacao-do-consorcio-de-saude/,https://www.cassia.cam.mg.gov.br/camara-demonstra-grande-preocupacao-com-situacao-do-consorcio-de-saude/,2014-2016,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
01994407,2014,CISPORTAL,original_84,9,594801.45,rede_indireta_sem_destinos_anuais,redes_indiretas_ou_programas,rede_indireta_sem_destinos_anuais,excluir_destino_fixo,0,0,,,,,,O sitio oficial atual confirma atendimento por credenciamento; nao foi localizada lista historica de prestadores com vigencia e endereco,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://cisportal.mg.gov.br/atendimento/,https://cisportal.mg.gov.br/atendimento/,2014-2017,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
01289973,2014,CISAMSF,original_84,5,470989.44,evidencia_insuficiente,demais_sem_destino_clinico_suficientemente_documentado,evidencia_insuficiente,excluir_destino_fixo,0,0,,,,,,O sitio atual confirma servicos de saude e sede em Januaria; nao foi localizado prestador anual ou unidade assistencial identificavel para 2014-2016,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://cisamsf.com.br/,https://cisamsf.com.br/,2014-2016,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
19455924,2014,CISTRI,original_84,21,278559.74,implantacao_sem_operacao_na_maior_parte_da_janela,fase_anterior_operacao_samu,pre_operacao_samu_regional,preservar_pagamento_de_fase_pre_operacional,0,0,,,,,2018-07-03,Historia institucional registra implantacao somente em 3 de julho de 2018 depois de fase de preparacao,evidencias/fontes_conciliacao_2026_09_24.csv#cistri_inicio,https://cistri.saude.mg.gov.br/cistri/historia/,https://cistri.saude.mg.gov.br/cistri/historia/,2014-2017,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado. Nao converter veiculos doados em 2016 em operacao assistencial naquele ano,2026-09-24
20059618,2014,CIS-URG OESTE,original_84,38,237580.42,implantacao_pre_operacao,fase_anterior_operacao_samu,pre_operacao_samu_regional,preservar_pagamento_de_fase_pre_operacional,0,0,,,,,2017-06-07,Relato institucional distingue criacao em 2014 e inicio dos atendimentos em 7 de junho de 2017,evidencias/fontes_conciliacao_2026_09_24.csv#cisurg_inicio,https://cisurg.oeste.mg.gov.br/07-anos-de-funcionamento-do-samu-gerenciado-pelo-cis-urg-oeste/,https://cisurg.oeste.mg.gov.br/07-anos-de-funcionamento-do-samu-gerenciado-pelo-cis-urg-oeste/ | https://cisurg.oeste.mg.gov.br/?gnm_paged=64,2014-2015,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado. Nao retroagir a expansao territorial de 2022; ano inicial tem disponibilidade parcial,2026-09-24
20101246,2014,CONSURGE,original_84,13,229352.78,sem_classificacao_anual_no_painel,fase_anterior_operacao_samu,pre_operacao_samu_regional,preservar_pagamento_de_fase_pre_operacional,0,1,7498268,64,312770,,2020-12-28,Relatorio estadual de 2021 registra inauguracao em 28 de dezembro de 2020 e distingue a primeira da segunda fase,evidencias/fontes_conciliacao_2026_09_24.csv#consurge_inicio,https://www.saude.mg.gov.br/wp-content/uploads/2021/01/2o-RDQA-2021-Volume-I-CES-7bb.pdf,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado. Inauguracao no fim do ano nao comprova disponibilidade integral em 2020 nem cobertura da segunda fase,2026-09-24
02287790,2014,CONSORCIO INTERMUNICIPAL DE SAUDE DA REG FRONT ESTADOS DA BA. MG. E ES.,original_84,1,220125.62,historica_sem_polo_documentado,historicas_sem_polo,historica_sem_polo_documentado,excluir_da_especificacao_de_destino_fixo,0,0,,,,,,Registro institucional posterior nao prova oferta em 2014-2021; sem vinculo CNES direto nos oito anos.,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://doc.tce.mg.gov.br/Home/ViewDiario/2026_01_28_Diario.pdf,https://doc.tce.mg.gov.br/Home/ViewDiario/2026_01_28_Diario.pdf,Registro institucional posterior nao prova oferta em 2014-2021; sem vinculo CNES direto nos oito anos.,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
18151467,2014,AMVAP SAUDE,original_84,16,102618,rede_indireta_sem_destinos_anuais,redes_indiretas_ou_programas,rede_indireta_sem_destinos_anuais,excluir_destino_fixo,0,0,,,,,,O portal oficial preserva demonstrativos de 2017 e descreve procedimentos e transporte; nao fornece neste material prestadores de 2014-2017,outputs/decisoes_documentais_91_entidades_ano.csv; evidencias/decisoes_sete_entidades_2026_09_10.csv,https://www.amvapsaude.com.br/transparencia/,https://www.amvapsaude.com.br/transparencia/,2014-2017,ftp://ftp.datasus.gov.br/dissemin/publicos/CNES/200508_/Dados/ST/STMG1412.dbc,efa555a5e62775fff13d7366f0fa0c8bd808333cabf0219999ac6d9831919062,201412,FALSE,CNES direto por CNPJ em dezembro; ausencia nao prova inexistencia de atendimento terceirizado.,2026-09-24
