cnpj_raiz_8,cod_ibge_6_override,fonte_titulo,fonte_url,ano_evidencia,resultado_revisao,cobertura_temporal,grau_evidencia,nota
13985869,,Contrato de consorcio CISSUL,"https://sapl.piumhi.mg.leg.br/media/sapl/public/normajuridica/2015/163/lei_municipal_no_2.215-2015.pdf",2015,evidencia_direta_ate_2019,anterior_ou_igual_a_2019,forte,"Contrato publico anterior a 2019 inclui os entes do CISSUL usados na amostra."
18151467,,Transparencia AMVAP Saude,"https://www.amvapsaude.com.br/transparencia/",2026,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Fonte oficial atual corrobora os municipios da amostra; a identidade historica com o predecessor CIS-AMVAP requer cautela."
20101246,,Cadastro COSECS do CONSURGE,"https://cosecsmg.org.br/consorcios/consurge-samu-80",2026,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Lista institucional posterior inclui Alvarenga e Conselheiro Pena."
20310169,,Municipios consorciados CISTRISUL,"https://cistrisul.mg.gov.br/cistrisul-municipios-consorciados.html",2026,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Pagina oficial atual inclui Santa Juliana."
31974558,,Duvidas frequentes CISAME,"https://www.cisame.mg.gov.br/contato/duvidas-frequentes/",2018,evidencia_direta_ate_2019,anterior_ou_igual_a_2019,forte,"Fonte oficial informa que Dom Joaquim participou da criacao do CISAME em 2018."
97550393,,Entes consorciados CIAS,"https://cias.mg.gov.br/pagina/48/entes-consorciados",2026,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Lista oficial atual corrobora Belo Horizonte Ouro Preto Sabara e Mariana; nao inclui Itabira atualmente."
97550393,313170,Noticia TCE-MG sobre o CIAS,"https://www.tce.mg.gov.br/noticia/Detalhe/1111621988",2016,evidencia_direta_ate_2019,anterior_ou_igual_a_2019,forte,"Fonte oficial de 2016 inclui Itabira entre os municipios do CIAS e indica possivel mudanca posterior."
01203485,,Municipios consorciados e atendidos pela ACISPES,"https://www.acispes.com.br/prefeito-de-chacara-e-o-novo-presidente-da-acispes-2/",2025,relacao_financeira_sem_filiacao_comprovada,posterior_a_2019,forte,"A ACISPES distingue 27 consorciados de 11 cidades atendidas e inclui Juiz de Fora entre as atendidas; o pagamento nao comprova filiacao."
05802877,,Edital ICISMEP com entes consorciados,"https://icismep.mg.gov.br/wp-content/uploads/2025/06/EDITAL-11.pdf",2025,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Documento oficial posterior lista os municipios CISMEP presentes na amostra."
71203715,,Municipios do CIS Circuito das Aguas,"https://www.ciscircuitodasaguas.org.br/pagina/87/municipios",2026,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Pagina oficial atual inclui Sao Lourenco Lambari e Pouso Alto."
01921228,,Protocolo de intencoes CIS-CEL,"https://ciscel.mg.gov.br/wp-content/uploads/2025/05/1a-ALTERACAO-E-CONSOLIDACAO-DO-PROTOCOLO-DE-INTENCOES.pdf",2025,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Documento oficial posterior inclui Itabira e Barao de Cocais."
00853908,,Atendimento CONSAUDE em Timoteo,"https://saude.timoteo.mg.gov.br/noticias/4424/prefeitura-de-timoteo-oferece-1200-cirurgias-e-exames-pelo-sus",2017,evidencia_direta_ate_2019,anterior_ou_igual_a_2019,forte,"Fonte municipal de 2017 registra procedimentos oferecidos por meio do CONSAUDE."
00738236,,Deliberacao de cidades consorciadas CISLESTE,"https://www.cisleste.mg.gov.br/portal/deliberacao/cidades-consorciadas/",2026,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Pagina oficial atual inclui Divino Fervedouro e Sao Sebastiao da Vargem Alegre."
20059618,,Protocolo CIS-URG Oeste,"https://www.divinopolis.mg.gov.br/portal/noticias/0/3/1943/Prefeito-Vladimir-assina-protocolo-de-intencoes-do-CIS-URG",2013,evidencia_direta_ate_2019,anterior_ou_igual_a_2019,forte,"Fonte municipal de 2013 registra Divinopolis e Nova Serrana no protocolo do CIS-URG Oeste."
19455924,,Leis ordinarias de Ituiutaba,"https://www.ituiutaba.mg.leg.br/leis/lei-municipal/leis-ordinarias/ano-de-2019",2019,evidencia_direta_ate_2019,anterior_ou_igual_a_2019,forte,"Lei municipal de 2019 autoriza repasse ao CISTRI."
17813026,,Municipios consorciados CISDESTE,"https://www.cisdeste.saude.mg.gov.br/institucional/municipios-consorciados/",2026,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Pagina oficial atual inclui Muriae."
01095667,,Contrato de rateio CISAMAPI Raul Soares,"https://sistema.cisamapi.mg.gov.br/UpFiles/noticias/arquivos/3325/raul_soares___contrato_de_rateio___2025___raul_soares_assinado_completo.pdf",2025,corroborado_em_fonte_posterior,posterior_a_2019,moderado,"Contrato oficial posterior confirma Raul Soares; nao comprova sozinho o ano de 2019."
02334933,,Contrato de consorcio CISALV,"https://cisalv.mg.gov.br/documentos/contratoDeConsorcioPublico2024.pdf",2018,evidencia_direta_ate_2019,anterior_ou_igual_a_2019,forte,"Documento oficial informa ratificacao de Barbacena pela Lei Municipal 4892 de 2018."
