cnpj_raiz_8,entidade,anos_mides_sem_fixa_dezembro,evidencia_documental,fonte_principal,fonte_complementar,classificacao_final,decisao_modelo_principal,uso_sensibilidade,limite
03735788,CISLAV,2014-2016,"Documentacao legislativa confirma a finalidade de apoiar programas de saude; nao identifica unidade ou prestador de 2014-2016",https://sapl.lavras.mg.leg.br/media/sapl/public/materialegislativa/2024/6/1._ple_021_2024_projeto.pdf,https://cosecsmg.org.br/consorcios/cislav-38,evidencia_insuficiente,excluir_destino_fixo,"preservar pagamentos e testar regra cadastral",Finalidade estatutaria nao prova oferta fixa anual
07306549,CIMBAJE,2014-2015,"A Enap documenta que o CISBAJAS de saude tornou-se CIMBAJE multifinalitario em 2014; nao ha prestador anual identificado",https://www.enap.gov.br/acontece/noticias/enap-apoia-municipios-do-baixo-jequitinhonha-a-desenvolverem-estrategia-para-lidar-com-o-aprofundamento-da-pobreza-decorrente-da-pandemia/,,multiarea_sem_destino_anual,excluir_destino_fixo,"sensibilidade multiarea",O valor MIDES nao pode ser decomposto por area
09310999,CISVALEGRAN,2014-2016,"O consorcio opera por unidades credenciadas e estrutura da contratada; ha referencia municipal a aditivo de credenciamento iniciado em 2014, sem lista historica completa de destinos",https://cisvalegran.mg.gov.br/quem-somos.html,https://ptdocz.com/doc/1907428/visualizar---prefeitura-municipal-de-uberaba,rede_indireta_documentada_sem_destinos_anuais,excluir_destino_fixo,"rede indireta por prestador quando a lista historica for recuperada",A sede administrativa em Uberaba nao substitui as unidades contratadas
13985869,CISSUL,2014,"A SES-MG documenta treinamento e implantacao do SAMU regional em 2014, com bases descentralizadas e rede hospitalar",https://www.saude.mg.gov.br/noticias/abertura-de-treinamento-para-samu-acontece-em-varginha/,https://www.saude.mg.gov.br/wp-content/uploads/2014/11/A_agenda_da_saude_publica_WEB-726.pdf,rede_movel_regional_documentada,excluir_destino_clinico_fixo,"modelar SAMU e bases em especificacao propria",Central e ambulancias nao equivalem a hospital mantido
18151467,AMVAP_SAUDE,2014-2017,"O portal oficial preserva demonstrativos de 2017 e descreve procedimentos e transporte; nao fornece neste material prestadores de 2014-2017",https://www.amvapsaude.com.br/transparencia/,,rede_indireta_sem_destinos_anuais,excluir_destino_fixo,"rede indireta a partir de listas de prestadores",Demonstrativo fiscal nao identifica destino assistencial
19455924,CISTRI,2014-2017,"O convenio de infraestrutura foi celebrado em dezembro de 2015; o inicio do SAMU foi suspenso e a operacao ocorreu apenas em 2018",https://cistri.saude.mg.gov.br/cistri/historia/,,implantacao_sem_operacao_na_maior_parte_da_janela,excluir_destino_fixo,"infraestrutura e cobertura movel somente apos inicio comprovado",Pagamento de implantacao nao significa disponibilidade assistencial
20059618,CIS_URG_OESTE,2014-2015,"O consorcio foi criado em 2014, mas o SAMU iniciou atendimentos em 7 de junho de 2017",https://cisurg.oeste.mg.gov.br/07-anos-de-funcionamento-do-samu-gerenciado-pelo-cis-urg-oeste/,https://cisurg.oeste.mg.gov.br/?gnm_paged=64,implantacao_pre_operacao,excluir_destino_fixo,"nenhuma oferta operacional para os pagamentos de 2014-2015",Nao usar retroativamente as bases implantadas em 2017
20310169,CISTRISUL,2019-2021,"O servico aeromedico com base em Uberaba operou desde 2019; o SAMU terrestre regional so iniciou em dezembro de 2025",https://cistrisul.mg.gov.br/cistrisul-institucional.html,https://irp.cdn-website.com/28209a80/files/uploaded/003_-_ATA_E_TERMO_POSSE_CISTRISUL_2020_-_20-05-20.pdf,servico_aeromedico_movel_documentado,excluir_destino_clinico_fixo,"modelar a base aeromedica de Uberaba separadamente em 2019-2021",O aeromedico nao representa hospital nem capacidade clinica fixa
20433216,CISREUNO,2015-2016,"O consorcio iniciou atividades administrativas em 2015 e foi oficialmente implantado somente em outubro de 2022",https://cisreuno.saude.mg.gov.br/cisreuno/institucional/,https://cisreuno.saude.mg.gov.br/cisreuno/resolucoes/,atividade_administrativa_pre_operacao,excluir_destino_fixo,"nenhuma oferta operacional para os pagamentos de 2015-2016",Nao retroagir central e bases de 2022
31974558,CISAME,2019-2020,"Edital de 2019 credenciou pessoas fisicas e juridicas para consultas especializadas e exames em 2019-2020; nao fixa um prestador ou destino unico",https://www.ammecimme.org.br/wp-content/uploads/2019/11/Edital-CISAME-01.2019-Credenciamento.pdf,https://www.cisame.mg.gov.br/contato/duvidas-frequentes/,rede_indireta_documentada_no_periodo,excluir_destino_fixo,"rede de credenciados quando os enderecos forem recuperados",A sede de Conceicao do Mato Dentro e local de inscricao e nao prova local de atendimento
71203715,CIS_CIRCUITO_DAS_AGUAS,2014-2015,"Documento da Fhemig registra gestao de servicos regionais de atencao secundaria entre janeiro de 2014 e dezembro de 2016, incluindo Centro Viva Vida, saude mental, CEO e farmacia",https://www.fhemig.mg.gov.br/files/3070/ConsorcioEntidades-Filantropicas---CSSFe/33901/Ata-de-Julgamento---CSSFE--Edital-06/2024.pdf?preview=1,https://www.ciscircuitodasaguas.org.br/,programas_fixos_documentados_sem_cnes_e_endereco,excluir_destino_fixo,"incluir somente apos cruzar cada programa com CNES e municipio",O documento comprova oferta mas nao identifica inequivocamente os destinos e capacidades
