cnpj_raiz_8,sigla,decisao,periodo_evidencia,evidencia,fonte,limite
01243423,CISLAGOS,candidato_saude_historica,2014-2021,"CNPJ 01243423000103 e clinica CNES 2171961 em Alfenas; vinculo nos oito dezembros.",https://cnes2.datasus.gov.br/Mod_Ind_Unidade_Listar.asp?VComp=&VEstado=31&VListar=1&VMun=310160&VSubUni=&VTipo=36,"Nao confundir com antiga filial do Municipio de Alfenas. MIDES complementar consulta a raiz propria."
01257142,CISSM,candidato_saude_historica,2018-2021,"CNES 9544674 nos dezembros de 2018-2021. Prestacao de contas de Sao Sebastiao do Paraiso registra cessao de quatro veiculos para pacientes em 30/07/2019.",https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/4169429,"Transporte de pacientes nao transforma veiculo em destino fixo; a clinica e identificada separadamente pelo CNES."
03869109,CISMMA,candidato_saude_historica,2019-2021,"Prefeitura de Manga registra gestao 2019/2020; CNES 0077615 cadastrado em marco de 2020 e vinculado nos dezembros de 2020-2021.",https://www.manga.mg.gov.br/noticias/cismma-elege-chapa-bienio-2019-2020-e-faz-prestacao-de-contas-do-ultimo-bienio | https://cnes2.datasus.gov.br/Mod_Ambulatorial.asp?VCo_Unidade=3139300077615,"Cadastro de 2020 nao informa inicio de todas as atividades. Nao retroagir o SADT para anos anteriores."
19493732,CIMPLA,saude_documentada_apos_2021,2024-2025,"Contrato 96/2024 do portal de transparencia identifica credenciamento da Santa Casa de Sacramento para exames; consultas e cirurgias.",https://acessoinformacao.org.br/licitacoes/entidades/mg/cimpla/contratos/exibir/72317,"Evidencia posterior a janela; nao comprova polo nem servico em 2014-2021. Sem decomposicao setorial dos pagamentos."
08753385,CODAP,saude_documentada_apos_2021,2026,"Prefeitura de Congonhas documenta especialistas contratados via CODAP e consultas de neuropediatria em maio de 2026.",https://www.congonhas.mg.gov.br/index.php/governo-de-congonhas-amplia-atendimentos-em-neuropediatria-na-clinica-da-crianca/,"Atendimento atual confirmado; nao foi demonstrada predominancia nem vigencia assistencial 2014-2021. CODAP continua separado do nucleo setorial."
17904158,IPER,saude_documentada_apos_2021,2023,"Plano regional Nordeste da SES inclui IPER entre sete consorcios de saude e informa sede em Itambacuri.",https://www.saude.mg.gov.br/wp-content/uploads/2023/08/Plano_Nordeste-924.pdf,"Reconhecimento institucional posterior; nao comprova unidade ou vigencia anual 2014-2021. Sem vinculo direto nos oito dezembros."
22835076,CIM JEQUITINHONHA,compras_sem_destino_clinico,2024-2025,"CNM assinala medicamentos; licitacoes oficiais apresentam compras de medicamentos e equipamentos.",https://www.cimjequitinhonha.mg.gov.br/licitacoes_filtro.php?categoria=2,"Compras compartilhadas nao identificam polo clinico. Evidencia posterior nao foi retroagida."
21565740,CIMPAR,compras_sem_destino_clinico,2025,"Homologacao de pregao 26/2025 documenta fornecimento parcelado de medicamentos para municipios consorciados.",https://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?captchafield=firstAccess&data=15%2F10%2F2025&jornal=530&pagina=222,"Nao demonstra atendimento clinico nem predominancia em saude durante 2014-2021."
46125774,CIMBASP,fora_janela_2014_2021,2022-2025,"Cadastro informa abertura posterior a 2021; chamada oficial 001/2025 se refere a compra de medicamentos.",https://cimbasp.mg.gov.br/wp-content/uploads/2025/04/IRP-Tabela-CIMED.pdf,"Nao e alternativa institucional na janela original; preservar em cadastro ampliado atual."
45758212,CISICOM,fora_escopo_assistencial_humano,2021-2026,"Portal institucional descreve fundacao em novembro de 2021 e servico de inspecao de produtos de origem animal; resolucoes tratam de SIM e PROCON.",https://cisicom.com.br/ | https://cisicom.com.br/resoluynes,"Campo saude-outro da CNM nao demonstra destino assistencial humano. Sem vinculo direto de dezembro."
20357048,CIDSMEJE,sinal_cnm_sem_oferta_historica_confirmada,2026,"CNM declara saude; portal consultado apresenta castramovel e inspecao animal. Sao atividades distintas de atendimento humano.",https://cidsmeje.com.br/,"Nao confundir CIDSMEJE 20357048 com CISMEJE 00745932 das 84. Nao localizado polo humano anual suficiente."
32308233,CIMOG,sinal_cnm_sem_oferta_historica_confirmada,2021,"CNM declara saude; resolucao institucional de 2021 regulamenta servico de inspecao. Nenhuma unidade diretamente vinculada nos oito dezembros.",https://sistema.cimog.mg.gov.br/UpFiles/noticias/arquivos/47/2021___001___sim.pdf,"Inspecao animal e declaracao CNM nao comprovam atendimento humano. Contratos posteriores nao definem oferta na janela."
28078941,INFRAMINAS,sinal_cnm_sem_oferta_historica_confirmada,2021-2023,"CNM declara saude; documento oficial identifica projetos de cisternas e hortas. Consulta dos oito dezembros nao identificou unidade direta.",https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/cesta%2520de%2520pre%25C3%25A7os/%2520/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/15,"Nao confundir com empresa de tecnologia homonima. Sem prova suficiente de destino clinico anual."
21564247,CIMMES,sinal_cnm_sem_oferta_historica_confirmada,2015-2020,"CNM declara saude; ALMG identifica CIMMES e CISAMESP separadamente na audiencia de 16/04/2015; prestacao de contas municipal separa repasses a CIMMES e AMESP.",https://www.almg.gov.br/comissoes/saude/14/reuniao/2/2015-04-16/09%3A00 | https://inconfidentes.mg.gov.br/wp-content/uploads/2022/05/RELATORIO-DO-CONTROLE-INTERNO-DA-PRESTACAO-DE-CONTAS-DO-EXERCICIO-DE-2020-assinado.pdf,"Participacao em audiencia nao prova oferta. Nao transferir a clinica CISAMESP a esta raiz."
20362307,AMESP,sinal_cnm_sem_oferta_historica_confirmada,2020,"CNM declara saude; ata de registro de precos de 2020 identifica a raiz 20362307; cadastro e repasses sao distintos de CISAMESP.",https://arquivos.pmsrs.mg.gov.br/wp-content/uploads/2020/10/ATA-DE-RP-Ichthus-Assinada.pdf,"Sem destino clinico direto nos oito dezembros; licitacao compartilhada nao equivale a atendimento. Nao atribuir CNES do CISAMESP."
21325226,CONSMEPI,sinal_cnm_sem_oferta_historica_confirmada,2019,"CNM declara saude; documento do TCE de 2019 identifica contratacao de iluminacao publica. Sem unidade CNES direta nos oito dezembros.",https://tcnotas.tce.mg.gov.br/tcjuris/Nota/BuscarArquivo/2012266,"Registro de outra politica nao prova ausencia de saude; evidencia disponivel nao sustenta polo humano anual."
21534350,CIMLESTE,sinal_cnm_sem_oferta_historica_confirmada,2026,"CNM usa sigla CISLESTE para raiz 21534350; cadastro identifica CIMLESTE de Mantena. ASSOLESTE documenta participacao em inauguracao de carreta em 2026.",https://assoleste.org.br/arquivos/34197,"Nao confundir com CISLESTE de Muriae raiz 00738236 das 84. Presenca em evento nao comprova operacao da carreta."
19193527,CODANORTE,fora_recorte_ses_2020,2020,"Resultado SES 02/2020 o inabilita naquele edital por nao se configurar consorcio de saude segundo protocolo de intencoes.",https://www.saude.mg.gov.br/wp-content/uploads/2020/04/Resultado_Edital_Habilitacao_CIS_No_02_-_30_03_2020-429.pdf,"Decisao especifica de 2020; nao e declaracao permanente de inexistencia de qualquer atividade de saude."
