cnpj_consorcio,status_revisao_documental,areas_validadas_documental,perfil_validado_documental,classe_validada_documental,confianca_documental,decisao_documental,justificativa_documental,fontes_documentais
19193527000108,confirmado,,multifinalitario_explicito,multifinalitario,media,confirmar,razao social confirma perfil multifinalitario ambiental; manter as areas diretas existentes sem reduzir a uma unica,https://casadosdados.com.br/solucao/cnpj/consorcio-intermunicipal-multifinalitario-para-o-desenvolvimento-ambiental-sustentavel-do-norte-de-minas-codanorte-19193527000108
18253417000121,confirmado,meio_ambiente; desenvolvimento_regional,multifinalitario_explicito,multifinalitario,media,confirmar,edital institucional confirma projeto de educacao ambiental e a razao social explicita desenvolvimento sustentavel regional,https://digitaliza-institucional.s3.us-east-2.amazonaws.com/consorcio-multifinalitario-de-conservacao-e-desenvolvimento-sustentavel-dos-vales-conservar-mucuri/edital/1%20-%20Retifica%C3%A7%C3%A3o%20N%C2%BA%2001%20do%20Edital%20001.2025%20-%20EwklFP0bLK.pdf
53249431000152,ajustado,licitacao_compras_compartilhadas,multifinalitario_explicito,multifinalitario,media,ajustar,processos publicados confirmam compras compartilhadas; nao inferir educacao ou esporte a partir de um objeto isolado,https://comgranbel.mg.gov.br/wp-content/uploads/2026/01/Extrato-Publicacao-Processo-PNCP-1.pdf
20362307000140,evidencia_insuficiente,,multiarea_documentada,multiarea,baixa,manter_pendente,processo de compras nao e suficiente para definir area de politica publica de associacao regional,https://licita.pub/licitacao.php?pncp_id=20362307000140-1-000007%2F2026
02097453000103,evidencia_insuficiente,,sem_classificacao,sem_classificacao,sem_classificacao,manter_pendente,nao foi localizada evidencia publica suficiente para validar a area com seguranca,
29367897000178,confirmado,assistencia_social,setorial,assistencia_social,alta,confirmar,razao social identifica servico socioassistencial de alta complexidade,https://www.econodata.com.br/consulta-empresa/29367897000178-consorcio-intermunicipal-de-servico-socioassistencial-de-alta-complexidade-vale-do-carinhanha-cissavac
28720927000115,confirmado,assistencia_social,setorial,assistencia_social,alta,confirmar,razao social e atividade cadastral identificam acolhimento de criancas e adolescentes em risco familiar,https://www.econodata.com.br/consulta-empresa/28720927000115-consorcio-intermunicipal-para-cuidados-de-criancas-e-adolescentes-em-risco-familiar-da-comarca-de-santa-maria-do-suacui-cialar
50337678000132,confirmado,assistencia_social,setorial,assistencia_social,alta,confirmar,razao social identifica acolhimento de menores e a atividade cadastrada e de orfanato,https://empresas.serasaexperian.com.br/consulta-gratis/CONSORCIO-INTERMUNICIPAL-DE-ACOLHIMENTO-AO-MENOR-DA-COMARCA-DE-IPANEMA-CIAMI-50337678000132
10423008000114,evidencia_insuficiente,,sem_classificacao,sem_classificacao,sem_classificacao,manter_pendente,cadastro confirma situacao baixada mas nao evidencia area de politica publica,https://www.econodata.com.br/consulta-empresa/10423008000114-consorcio-intermunicipal-do-medio-rio-grande-cimeg
09097006000101,confirmado,seguranca_publica,setorial,seguranca_publica,alta,confirmar,documento oficial identifica o Consorcio Intermunicipal de Seguranca Publica da Comarca de Grao Mogol,https://snc.cultura.gov.br/media/3937/docs/criacaosistema/smc_diario_oficial_paginas_70_a_77_HPkkbMn.pdf
45758212000170,ajustado,inspecao_produtos_origem_animal,setorial,inspecao_produtos_origem_animal,media,ajustar,processo publicado identifica servicos de inspecao municipal; classificacao permanece especifica e nao e tratada como saude humana,https://alertalicitacao.com.br/%21licitacao/PNCP-45758212000170-1-000001-2026
05802877000381,confirmado,saude,setorial,saude,alta,confirmar,registro oficial no CNES confirma unidade do CISMEP; a regra matriz filial continua pendente e nao altera esta classificacao,https://cnes2.datasus.gov.br/Mod_Conjunto.asp?VCo_Unidade=3100209415491
05802877000209,confirmado,saude,setorial,saude,alta,confirmar,registro oficial no CNES confirma unidade do CISMEP,https://cnes2.datasus.gov.br/Lista_Es_Municipio.asp?NomeEstado=MINAS+GERAIS&VCodMunicipio=310900&VEstado=31
12418785000104,evidencia_insuficiente,,sem_classificacao,sem_classificacao,sem_classificacao,manter_pendente,nao foi localizada evidencia publica suficiente para validar a area com seguranca,
14424753000139,confirmado,assistencia_social,setorial,assistencia_social,alta,confirmar,razao social identifica cuidado de criancas e adolescentes em risco social,https://cnpj.biz/14424753000139
12740578000163,confirmado,vigilancia_em_saude,setorial,vigilancia_em_saude,alta,confirmar,razao social identifica controle de zoonoses; classificado na macroarea saude,https://cnpj.biz/12740578000163
15550319000168,evidencia_insuficiente,,sem_classificacao,sem_classificacao,sem_classificacao,manter_pendente,cadastro localizado confirma identidade mas nao area finalistica,https://www.cnpj.pro/info/15550319000168
12041914000180,evidencia_insuficiente,,sem_classificacao,sem_classificacao,sem_classificacao,manter_pendente,cadastro localizado nao permite inferir area finalistica,
05802877000462,evidencia_insuficiente,,sem_classificacao,sem_classificacao,baixa,manter_pendente,unidade filial de logistica do CISMEP; aguardar decisao de consolidacao matriz filial antes de atribuir politica publica,https://cnpj.biz/05802877000462
35617360000111,ajustado,gestao_publica,setorial,gestao_publica,media,ajustar,razao social e cadastro confirmam associacao publica de municipios com administracao publica geral; classificada como funcao de gestao e nao como politica setorial,https://www.econodata.com.br/consulta-empresa/35617360000111-associacao-publica-dos-municipios-da-microrregiao-do-medio-rio-grande-consorcio-ameg
02870480000177,confirmado,desenvolvimento_regional,setorial,desenvolvimento_regional,alta,confirmar,artigo documenta plano estrategico de desenvolvimento sustentavel implantado pelo consorcio,https://ojsrevista.furb.br/ojs/index.php/rbdr/article/view/6584
45421031000154,confirmado,meio_ambiente; saneamento_basico; desenvolvimento_regional,multiarea_documentada,multiarea,alta,confirmar,site institucional e fontes oficiais registram defesa e revitalizacao da bacia do Rio Doce e atuacao em reparacao socioambiental e saneamento,https://www.coridoce.mg.gov.br/quem-somos/; https://www.mg.gov.br/riodoce/noticias/governo-de-minas-se-reune-com-municipios-para-apresentar-acoes-do-acordo-de-mariana-com-foco-em-saneamento
20957637000188,confirmado,iluminacao_publica,setorial,iluminacao_publica,alta,confirmar,razao social e atividade economica cadastral identificam administracao do servico de iluminacao publica,https://casadosdados.com.br/solucao/cnpj/consorcio-de-administracao-do-servico-de-iluminacao-publica-casip-20957637000188
14100905000148,confirmado,meio_ambiente; recursos_hidricos; saneamento_basico; desenvolvimento_regional,multiarea_documentada,multiarea,media,confirmar,documentacao do consorcio registra gestao ambiental integrada; fonte local registra apoio na elaboracao de plano municipal de saneamento,https://fundacaomatutu.wordpress.com/2011/06/07/consorcio-de-ecodesenvolvimento-regional-da-serra-do-papagaio/; https://correiodopapagaio.com.br/aiuruoca/noticias/audincia-pblica-d-retoques-finais-no-plano-de-saneamento-bsico-em-aiuruoca
11976772000180,confirmado,meio_ambiente; desenvolvimento_regional; desenvolvimento_urbano; saneamento_basico; educacao; saude; cultura; turismo; esporte,multiarea_documentada,multiarea,alta,confirmar,protocolo de intencoes ratificado por municipio participante explicita finalidades ambientais sociais urbanas de saneamento educacao saude esporte turismo e patrimonio cultural,https://camarademariana.mg.gov.br/download/legislativo/documento/2019.002.0019120/projeto-de-lei-n-077-2013/
20149133000131,evidencia_insuficiente,,setorial,residuos_solidos,baixa,manter_pendente,a evidencia interna conflita com a denominacao de desenvolvimento sustentavel; requer consulta a estatuto ou protocolo,https://www.econodata.com.br/consulta-empresa/20149133000131-consorcio-intermunicipal-para-o-desenvolvimento-sustentavel-da-regiao-do-medio-espinhacocoremesp
